action,frame,input_number,x_inputs,y_inputs
pushup,0,1,201.53870699698464,1052.8044725065033
pushup,0,2,238.61798872027478,1066.5633409882428
pushup,0,3,195.30561748303865,1073.0123336474448
pushup,0,4,213.532759683174,1064.3009876865417
pushup,0,5,191.61144055818255,1058.2617909493085
pushup,0,6,213.86755960029467,997.8075824248699
pushup,0,7,130.1489552280359,954.5642103213992
pushup,0,8,324.8783767432497,946.1546848794325
pushup,0,9,181.83087666829425,910.691777675332
pushup,0,10,485.1553411651076,964.9915380154094
pushup,0,11,249.4430657436973,917.9813888900774
pushup,0,12,224.8426658228824,855.9013722681921
pushup,0,13,169.16574377762643,922.5377950010268
pushup,0,14,265.89082015188114,878.3858397234178
pushup,0,15,339.01461684912965,950.9398090408508
pushup,0,16,340.14405133431416,841.5933304417956
pushup,0,17,483.65735104209494,960.819647998956
pushup,1,1,31.204882170024668,55.548368456068594
pushup,1,2,26.88636311313562,57.825550025029095
pushup,1,3,24.110458608259233,57.27041823187637
pushup,1,4,24.47329186556632,60.975811760893
pushup,1,5,21.49599092048511,51.05819585158817
pushup,1,6,26.417981532582065,64.40824945288968
pushup,1,7,40.72013386508875,42.795837335492536
pushup,1,8,46.020792408993366,72.0331555937885
pushup,1,9,47.923100789388016,34.19272883437158
pushup,1,10,48.79537749708744,73.75466354052574
pushup,1,11,58.21547591895388,42.69350484323658
pushup,1,12,66.01975265302156,66.98592291473689
pushup,1,13,70.14919214081345,43.23196895804097
pushup,1,14,92.55616606327524,63.458647378041995
pushup,1,15,90.70203956804777,47.57172332797097
pushup,1,16,130.60605300100227,62.61744989100578
pushup,1,17,129.98600273801569,48.64249489524148
pushup,2,1,209.92281729714912,1063.401068763691
pushup,2,2,234.04828389485675,1070.6861287479462
pushup,2,3,194.26634537546258,1079.12397102615
pushup,2,4,217.0161223829838,1068.5902911183084
pushup,2,5,189.72200025591934,1062.7244984019885
pushup,2,6,227.0959432501542,1000.2007354702903
pushup,2,7,129.85333359032344,970.3947697751232
pushup,2,8,322.9236509088884,953.5170201847874
pushup,2,9,215.68182091963916,931.3520015787582
pushup,2,10,478.1858852453399,961.1273945435506
pushup,2,11,299.57691527249517,953.4460342256812
pushup,2,12,243.27633506373354,862.5962964963547
pushup,2,13,168.2979597125137,924.1350282165594
pushup,2,14,255.72356776187294,860.4071599786931
pushup,2,15,344.53869869834494,950.3924807896358
pushup,2,16,294.9419978626987,814.8505648125171
pushup,2,17,483.44373736465184,958.3040863739047
pushup,3,1,197.90285612407482,1065.1850441538882
pushup,3,2,233.7762979875531,1078.0565400139265
pushup,3,3,186.03047086481462,1078.6188212099107
pushup,3,4,224.7005609880414,1077.931153630636
pushup,3,5,187.35817691736054,1061.8752259570954
pushup,3,6,249.32572716160823,1020.3962445128525
pushup,3,7,156.76656354937637,957.9233740715704
pushup,3,8,333.6199656704016,967.3357024511398
pushup,3,9,209.11706623278164,905.2222568808616
pushup,3,10,478.2435768528988,958.0597705987301
pushup,3,11,270.1960938436943,924.9624242709474
pushup,3,12,276.694376092208,911.9673970651783
pushup,3,13,185.6444148013466,918.9049584345906
pushup,3,14,341.5655403806452,945.9983426247604
pushup,3,15,347.1176495468407,947.184410805509
pushup,3,16,484.2292277018229,956.1083850672577
pushup,3,17,488.84658144231423,956.2744561787633
pushup,4,1,253.65986405757434,1064.2955192574275
pushup,4,2,251.5238939251816,1085.445488452389
pushup,4,3,237.09392212984852,1088.0861915346043
pushup,4,4,221.00530524002878,1077.1942721948697
pushup,4,5,200.8082010034929,1066.9813088023257
pushup,4,6,254.70184727718953,1036.929336330585
pushup,4,7,196.1122834055047,994.8751246106585
pushup,4,8,338.7753366169176,1007.4635908245909
pushup,4,9,289.4165668152926,940.6010151222789
pushup,4,10,368.49152414422286,1039.0648872567685
pushup,4,11,394.43508683589465,962.0593363666848
pushup,4,12,316.2320789537932,916.005756424134
pushup,4,13,248.88254132187157,847.1309305046892
pushup,4,14,399.6248773942914,944.6780606089129
pushup,4,15,261.6557084468373,899.8011149712486
pushup,4,16,489.4788775527686,955.9785045276989
pushup,4,17,318.01154521473666,879.9552929179431
pushup,5,1,262.9979130259731,1083.9338542023206
pushup,5,2,256.99355142158373,1097.7646158141088
pushup,5,3,246.64341709070038,1094.667585358301
pushup,5,4,230.95539293791117,1092.1023810262357
pushup,5,5,203.0472429175126,1070.4040440437175
pushup,5,6,245.26760670176722,1026.6079193817172
pushup,5,7,191.82043979042453,984.4594812132051
pushup,5,8,336.5795818128084,962.5817296173329
pushup,5,9,285.07655093544406,938.8730770917476
pushup,5,10,481.75936782569215,960.4245997885363
